"user_id","password"
"Drogba11@gmail.com","DD11"
"Henry12@gmail.com","TH12"
"Rivaldo10@gmail.com","RV10"
"match_id","team1_id","team2_id","date","venue"
"p21","Bukayo Saka","ENG","23","CF"
"p22","Declan Rice","ENG","25","DMF"
"p23","Harry Maguire","ENG","31","CB"
"p24","Jordan Pickford","ENG","30","GK"
"p25","Rodrigo","BRA","23","CF"
"p26","Vinicius Junior","BRA","24","CF"
"p27","Marquinos","BRA","30","CB"
"p28","Casemiro","BRA","32","DMF"
"p29","Alisson Becker","BRA","32","GK"
"p30","Danilo","BRA","33","CB"
"p31","Jamal Musiala","GER","21","CF"
"p32","Kai Havertz","GER","25","CF"
"p33","Toni Kroos","GER","34","CMF"
"p34","Antoniyo Rudiger","GER","31","CB"
"p35","Joshua Kimmich","GER","29","CB"
"p36","Manuel Neuer","GER","38","GK"
"p37","Federico Chiesa","ITA","26","CF"
"p38","Nicolo Barella","ITA","27","CMF"
"p39","Jorgino","ITA","32","CMF"
"p40","Bastoni","ITA","25","CB"
"p41","Federico Dimarco","ITA","26","CB"
"p42","Donnarumma","ITA","25","GK"
"p43","James Rodrigues","COL","33","CF"
"p44","Luis Dias","COL","27","CF"
"p45","Juan Cuadrado","COL","36","CMF"
"p46","Yerry Mina","COL","30","CB"
"p47","Jhon Lucumi","COL","26","CB"
"p48","David Ospina","COL","36","GK"
"p49","Alexis Sanches","CHI","35","CF"
"p50","Arturo Vidal","CHI","37","CMF"
"p51","Diego Valdes","CHI","30","CMF"
"p52","Maripan","CHI","32","CB"
"p53","Kuscevic","CHI","28","CB"
"p54","Brayan Cortes","CHI","29","GK"
"p55","Darwin Nunez","URU","23","CF"
"p56","Luis Suaraz","URU","37","CF"
"p57","Federico Valverde","URU","26","CMF"
"p58","Ronald Araujo","URU","25","CB"
"p59","Mathias Olivera","URU","26","CB"
"p60","Sergio Rochet","URU","31","GK"
"team_id","team_name","coach_name","tournament_id"
"ARG","ARGENTINA","Lionel Scaloni","COPA24"
"BRA","BRASIL","Dorival Junior","COPA24"
"CHI","CHILE","Ricardo Gareca","COPA24"
"COL","COLUMBIA","Nester Lorenzo","COPA24"
"ENG","ENGLAND","Gareth Southgate","EURO24"
"FRA","FRANCE","Didier Deschchamps","EURO24"
"GER","GERMANY","Julian Nagelsmann","EURO24"
"ITA","ITALY","Luciano Spalletti","EURO24"
"SPA","SPAIN","Luis De La Fuente","EURO24"
"URU","URUGUAY","Marcelo Bielsa","COPA24"
"tournament_id","name","year","host_country"
"COPA24","COPA AMERCA","2024","UNITED STATES"
"EURO24","EUROCUP","2024","GERMANY"
"id","dbase","user","label","query"
"db_name","col_name","col_type","col_length","col_collation","col_isNull","col_extra","col_default"
"id","db_name","table_name","column_name","comment","mimetype","transformation","transformation_options","input_transformation","input_transformation_options"
"username","settings_data"
"id","username","export_type","template_name","template_data"
"username","tables"
"id","username","db","table","timevalue","sqlquery"
"username","item_name","item_type","db_name","table_name"
"db_name","page_nr","page_descr"
"username","tables"
"root","[{""db"":""football"",""table"":""teams""},{""db"":""football"",""table"":""matches""},{""db"":""football"",""table"":""admin""},{""db"":""football"",""table"":""matchresults""},{""db"":""football"",""table"":""tournament""},{""db"":""football"",""table"":""players""},{""db"":""football"",""table"":""matcheresults""},{""db"":""football"",""table"":""matches_1""}]"
"master_db","master_table","master_field","foreign_db","foreign_table","foreign_field"
"id","username","db_name","search_name","search_data"
"db_name","table_name","pdf_page_number","x","y"
"db_name","table_name","display_field"
"football","matchresults","match_id"
"football","teams","team_id"
"username","db_name","table_name","prefs","last_update"
"root","football","admin","[]","2024-10-19 12:47:58"
"db_name","table_name","version","date_created","date_updated","schema_snapshot","schema_sql","data_sql","tracking","tracking_active"
"username","timevalue","config_data"
"root","2024-11-03 10:10:46","{""Console\/Mode"":""collapse"",""NavigationWidth"":0}"
"usergroup","tab","allowed"
"username","usergroup"
